filename,category
1045HR-0-0026.csv,Pure Shear
1045HR-0-0038.csv,Pure Shear
1045HR-0-0072.csv,Pure Shear
1045HR-0-0173.csv,Pure Shear
1045HR-0010-0020.csv,Proportional
1045HR-0013-0013.csv,Proportional
1045HR-0014-0029.csv,Proportional
1045HR-0019-0019.csv,Proportional
1045HR-0021-0011.csv,Proportional
1045HR-0022-0.csv,Uniaxial
1045HR-0026-0052.csv,Proportional
1045HR-0037-0037.csv,Proportional
1045HR-0041-0021.csv,Proportional
1045HR-0043-0.csv,Uniaxial
1045HR-0050-0.csv,Uniaxial
1045HR-0055-0.csv,Uniaxial
1045HR-0065-0131.csv,Proportional
1045HR-0087-0087.csv,Proportional
1045HR-0096-0048.csv,Proportional
1045HR-0100-0.csv,Uniaxial
1045HR-90-0010-0020.csv,Nonproportional
1045HR-90-0013-0013.csv,Nonproportional
1045HR-90-0014-0029.csv,Nonproportional
1045HR-90-0019-0019.csv,Nonproportional
1045HR-90-0021-0011.csv,Nonproportional
1045HR-90-0026-0052.csv,Nonproportional
1045HR-90-0037-0037.csv,Nonproportional
1045HR-90-0041-0021.csv,Nonproportional
16MnR-a-0.00100-0.00173.csv,Nonproportional
16MnR-a-0.00110-0.00191.csv,Nonproportional
16MnR-a-0.00138-0.00242.csv,Nonproportional
16MnR-a-0.00200-0.00346.csv,Nonproportional
16MnR-a-0.00277-0.00484.csv,Nonproportional
16MnR-a-0.00397-0.00693.csv,Nonproportional
16MnR-a-0.00400-0.00692.csv,Nonproportional
16MnR-a-0.006-0.01039.csv,Nonproportional
16MnR-b-0.00106-0.00185.csv,Proportional
16MnR-b-0.00136-0.00243.csv,Proportional
16MnR-b-0.00707-0.001225.csv,Proportional
16MnR-c-0.00133-0.00346.csv,Nonproportional
16MnR-d-0.001-0.00260.csv,Nonproportional
16MnR-d-0.00160-0.00416.csv,Nonproportional
16MnR-d-0.00300-0.00780.csv,Nonproportional
1Cr18Ni9T-1-0.002.csv,Uniaxial
1Cr18Ni9T-1-0.003.csv,Uniaxial
1Cr18Ni9T-1-0.004.csv,Uniaxial
1Cr18Ni9T-1-0.005.csv,Uniaxial
1Cr18Ni9T-1-0.01.csv,Uniaxial
1Cr18Ni9T-2-0.0025.csv,Pure Shear
1Cr18Ni9T-2-0.004.csv,Pure Shear
1Cr18Ni9T-2-0.006.csv,Pure Shear
1Cr18Ni9T-2-0.01.csv,Pure Shear
1Cr18Ni9T-2-0.015.csv,Pure Shear
1Cr18Ni9T-3-0.002.csv,Nonproportional
1Cr18Ni9T-3-0.0028.csv,Nonproportional
1Cr18Ni9T-3-0.004.csv,Nonproportional
1Cr18Ni9T-3-0.01.csv,Nonproportional
2024-T3-0.0142.csv,Pure Shear
2024-T3-0.02.csv,Pure Shear
2024-T3-U-0.0053.csv,Uniaxial
2024-T3-U-0.0087.csv,Uniaxial
2024-T3-U-0.0120.csv,Uniaxial
304SS-0.00145-0023.csv,Proportional
304SS-0.0025-0043.csv,Proportional
304SS-90-0.0020-0035.csv,Nonproportional
304SS-90-0.0035-0061.csv,Nonproportional
304SS-box-0.0014-0024.csv,Nonproportional
304SS-box-0.0025-0043.csv,Nonproportional
304SS-twobox-0.0014-0024.csv,Nonproportional
304SS-twobox-0.0025-0043.csv,Nonproportional
410-IP-0.002-0.005.csv,Proportional
410-IP-0.0025-0.0025.csv,Proportional
410-IP-0.0026-0.0042.csv,Proportional
410-IP-0.0026-0.0048.csv,Proportional
410-IP-0.0030-0.0042.csv,Proportional
410-IP-0.0030-0.0048.csv,Proportional
410-IP-0.0035-0.0030.csv,Proportional
410-OP-0.002-0.005.csv,Nonproportional
410-OP-0.0025-0.0025.csv,Nonproportional
410-OP-0.0026-0.0042.csv,Nonproportional
410-OP-0.0026-0.0048.csv,Nonproportional
410-OP-0.0030-0.0042.csv,Nonproportional
410-OP-0.0030-0.0048.csv,Nonproportional
410-OP-0.0035-0.0030.csv,Nonproportional
45mild-0-0.01039.csv,Pure Shear
45mild-0-0.01386.csv,Pure Shear
45mild-0.004-0.01386-01.csv,Nonproportional
45mild-0.004-0.01386-10.csv,Nonproportional
45mild-0.004-0.01386-11.csv,Nonproportional
45mild-0.0048-0.csv,Uniaxial
45mild-0.00566-0.00979-0.csv,Proportional
45mild-0.00566-0.00979-00-45.csv,Nonproportional
45mild-0.00566-0.00979-11-45.csv,Nonproportional
45mild-0.00566-0.00979-11-60.csv,Nonproportional
45mild-0.00566-0.00979.csv,Proportional
45mild-0.0059-0.csv,Uniaxial
45mild-0.0069-0.csv,Uniaxial
45mild-0.008-0.00693-01.csv,Nonproportional
45mild-0.008-0.00693-10.csv,Nonproportional
45mild-0.008-0.00693-11.csv,Nonproportional
45mild-0.008-0.01386-00-90.csv,Nonproportional
45mild-0.008-0.01386-01-90.csv,Nonproportional
45mild-0.008-0.01386-10-90.csv,Nonproportional
45mild-0.008-0.01386-11-45.csv,Nonproportional
45mild-0.008-0.01386-11-90.csv,Nonproportional
6061-T6-1-10.csv,Uniaxial
6061-T6-1-18.csv,Uniaxial
6061-T6-1-22.csv,Uniaxial
6061-T6-1-28.csv,Uniaxial
6061-T6-1-30.csv,Uniaxial
6061-T6-2-2.csv,Pure Shear
6061-T6-2-27.csv,Pure Shear
6061-T6-2-29.csv,Pure Shear
6061-T6-2-4.csv,Pure Shear
6061-T6-2-6.csv,Pure Shear
6061-T6-3-15.csv,Proportional
6061-T6-3-23.csv,Proportional
6061-T6-3-24.csv,Proportional
6061-T6-3-25.csv,Proportional
6061-T6-3-26.csv,Proportional
6061-T6-3-5.csv,Proportional
7075-T651-c-0.0017-0.006.csv,Proportional
7075-T651-c-0.0021-0.0037.csv,Proportional
7075-T651-c-0.0022-0.0078.csv,Proportional
7075-T651-c-0.0023-0.004.csv,Proportional
7075-T651-c-0.0028-0.0049.csv,Proportional
7075-T651-c-0.0050-0.0086.csv,Proportional
7075-T651-c-0.0064-0.011.csv,Proportional
7075-T651-d-0.0027-0.0041.csv,Nonproportional
7075-T651-d-0.0028-0.0049.csv,Nonproportional
7075-T651-d-0.0038-0.0066.csv,Nonproportional
7075-T651-d-0.0051-0.0087.csv,Nonproportional
7075-T651-d-0.0075-0.0130.csv,Nonproportional
7075-T651-d-0.0085-0.0145.csv,Nonproportional
7075-T651-e-0.0020-0.0032.csv,Nonproportional
7075-T651-e-0.0028-0.0049.csv,Nonproportional
7075-T651-e-0.0049-0.0086.csv,Nonproportional
7075-T651-f-0.0028-0.0049.csv,Nonproportional
7075-T651-f-0.0036-0.0063.csv,Nonproportional
7075-T651-f-0.0040-0.0070.csv,Nonproportional
AISI 316L-0-0.01386.csv,Pure Shear
AISI 316L-0-0.01732.csv,Pure Shear
AISI 316L-0-0.01905.csv,Pure Shear
AISI 316L-0-0.02079.csv,Pure Shear
AISI 316L-0-0.02252.csv,Pure Shear
AISI 316L-0.00566-0.00980.csv,Proportional
AISI 316L-0.00612-0.01060.csv,Nonproportional
AISI 316L-0.00707-0.001225.csv,Proportional
AISI 316L-0.00766-0.01327.csv,Nonproportional
AISI 316L-0.00778-0.001348.csv,Proportional
AISI 316L-0.008-0.001386.csv,Nonproportional
AISI 316L-0.008-0.csv,Uniaxial
AISI 316L-0.00843-0.01460.csv,Nonproportional
AISI 316L-0.00849-0.001470.csv,Proportional
