csv_transform,material_transform,target_transform,model,best_params,cv_score,test_r2,test_r2_inv
csv_none,material_none,target_none,Ridge,{'regressor__alpha': np.float64(0.001)},0.25658575249892907,0.3377075386042502,0.3377075386042502
csv_none,material_none,target_none,Lasso,{'regressor__alpha': np.float64(0.46415888336127775)},0.23802455230481973,0.3962023966022531,0.3962023966022531
csv_none,material_none,target_none,ElasticNet,"{'regressor__alpha': np.float64(2.154434690031882), 'regressor__l1_ratio': 0.2}",0.24335604354414064,0.3965646577277089,0.3965646577277089
csv_none,material_none,target_log,Ridge,{'regressor__alpha': np.float64(0.001)},0.28441556528960205,0.2900754886588168,0.29372983132329855
csv_none,material_none,target_log,Lasso,{'regressor__alpha': np.float64(0.1)},0.28108676797578197,0.4001190044855989,0.37759145709959474
csv_none,material_none,target_log,ElasticNet,"{'regressor__alpha': np.float64(0.021544346900318832), 'regressor__l1_ratio': 0.8}",0.2695676776179691,0.3770727341127217,0.3713845209564123
csv_none,material_none,target_boxcox,Ridge,{'regressor__alpha': np.float64(0.001)},0.256832362157894,0.33754025088527606,0.33750835000933865
csv_none,material_none,target_boxcox,Lasso,{'regressor__alpha': np.float64(0.46415888336127775)},0.23721134940176092,0.39623408028694296,0.39606765074978223
csv_none,material_none,target_boxcox,ElasticNet,"{'regressor__alpha': np.float64(2.154434690031882), 'regressor__l1_ratio': 0.2}",0.2441625646572644,0.39660314191073953,0.39643653567062487
csv_none,material_none,target_yeojohnson,Ridge,{'regressor__alpha': np.float64(0.001)},0.2571684602009229,0.3373141698676223,0.33723743147910623
csv_none,material_none,target_yeojohnson,Lasso,{'regressor__alpha': np.float64(0.1)},0.12812875772057014,0.30576400878997045,0.3070239168748313
csv_none,material_none,target_yeojohnson,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.8}",0.28258089333998054,0.25507724097383,0.2575302320132067
csv_none,material_standardize,target_none,Ridge,{'regressor__alpha': np.float64(0.001)},0.2619719721955601,0.33003611366112895,0.33003611366112895
csv_none,material_standardize,target_none,Lasso,{'regressor__alpha': np.float64(10.0)},0.11179029695191378,0.1328780486218667,0.1328780486218667
