load,E(Gpa),TS(Mpa),ss£¨Mpa£©,m,,Nf(label)
5% chrome work roll steel-1-950.csv,197,1400,900,0.3,,2.462397998
5% chrome work roll steel-1-850.csv,197,1400,900,0.3,,3.219584526
5% chrome work roll steel-1-800.csv,197,1400,900,0.3,,3.654753933
5% chrome work roll steel-1-700.csv,197,1400,900,0.3,,4.38799457
5% chrome work roll steel-1-650.csv,197,1400,900,0.3,,5.0087364
5% chrome work roll steel-1-600.csv,197,1400,900,0.3,,5.107803326
5% chrome work roll steel-2-1000.csv,197,1400,900,0.3,,3.934245881
5% chrome work roll steel-2-900.csv,197,1400,900,0.3,,4.266090516
5% chrome work roll steel-2-850.csv,197,1400,900,0.3,,4.117138666
5% chrome work roll steel-2-800.csv,197,1400,900,0.3,,4.979152139
5% chrome work roll steel-2-700.csv,197,1400,900,0.3,,5.564680264
5% chrome work roll steel-2-650.csv,197,1400,900,0.3,,6.007459717
5% chrome work roll steel-3-A1.csv,197,1400,900,0.3,,3.483444648
5% chrome work roll steel-3-A2.csv,197,1400,900,0.3,,4.670190171
5% chrome work roll steel-3-A3.csv,197,1400,900,0.3,,4.65691234
5% chrome work roll steel-3-B1.csv,197,1400,900,0.3,,3.711554168
5% chrome work roll steel-3-B2.csv,197,1400,900,0.3,,3.781036939
5% chrome work roll steel-3-B3.csv,197,1400,900,0.3,,4.314056919
5% chrome work roll steel-3-C1.csv,197,1400,900,0.3,,3.330210785
5% chrome work roll steel-3-C2.csv,197,1400,900,0.3,,4.137575634
5% chrome work roll steel-3-C3.csv,197,1400,900,0.3,,3.838219222
5% chrome work roll steel-3-D1.csv,197,1400,900,0.3,,4.083860801
5% chrome work roll steel-3-D2.csv,197,1400,900,0.3,,4.660210698
5% chrome work roll steel-3-D3.csv,197,1400,900,0.3,,4.141198845
5% chrome work roll steel-3-E1.csv,197,1400,900,0.3,,4.304792016
5% chrome work roll steel-3-E3-1.csv,197,1400,900,0.3,,5.290230556
5% chrome work roll steel-3-F3.csv,197,1400,900,0.3,,3.948852906
5% chrome work roll steel-3-G1.csv,197,1400,900,0.3,,5.094240469
5% chrome work roll steel-3-E3-2.csv,197,1400,900,0.3,,5.04220918
5% chrome work roll steel-Ms-350+300.csv,197,1400,900,0.3,,6.378198879
5% chrome work roll steel-Ms-400+300.csv,197,1400,900,0.3,,5.715662456
5% chrome work roll steel-Ms-500+300.csv,197,1400,900,0.3,,4.817281035
5% chrome work roll steel-Ms-600+300.csv,197,1400,900,0.3,,3.541454429
5% chrome work roll steel-Ms-720-100.csv,197,1400,900,0.3,,4.910827099
5% chrome work roll steel-Ms-750-100.csv,197,1400,900,0.3,,5.488848135
5% chrome work roll steel-Ms-800-100.csv,197,1400,900,0.3,,5.049365348
5% chrome work roll steel-Ms-800-300.csv,197,1400,900,0.3,,6.417599057
5% chrome work roll steel-Ms-820-300.csv,197,1400,900,0.3,,4.661045606
5% chrome work roll steel-Ms-850-100.csv,197,1400,900,0.3,,3.365487985
5% chrome work roll steel-Ms-850-300.csv,197,1400,900,0.3,,5.283549972
5% chrome work roll steel-Ms-900-100.csv,197,1400,900,0.3,,3.534280005
5% chrome work roll steel-Ms-900-300.csv,197,1400,900,0.3,,3.928703027
30CrMnSiA-0-324.23.csv,203,1177,1105,0.3,,5.658143097
30CrMnSiA-0-346.41.csv,203,1177,1105,0.3,,5.391330382
30CrMnSiA-0-360.csv,203,1177,1105,0.3,,5.294494884
30CrMnSiA-0-368.521-266.783.csv,203,1177,1105,0.3,,5.017630084
30CrMnSiA-0-400.csv,203,1177,1105,0.3,,4.912726757
30CrMnSiA-45-368.521-291.3415.csv,203,1177,1105,0.3,,4.965244046
30CrMnSiA-90-268.1-324.23.csv,203,1177,1105,0.3,,5.022061148
30CrMnSiA-90-368.521-324.23.csv,203,1177,1105,0.3,,4.856257495
2024-STSA--150-140.csv,73.4,495,330,0.343,,5.759998915
2024-STSA--92-188.csv,73.4,495,330,0.343,,4.260953398
2024-STSA-150-140.csv,73.4,495,330,0.343,,4.668110901
2024-STSA-92-188.csv,73.4,495,330,0.343,,4.039790741
2024-T3-IP-156-90.csv,73.4,495,330,0.343,,5.732567845
2024-T3-IP-175-106.csv,73.4,495,330,0.343,,5.169453999
2024-T3-IP-175-108.csv,73.4,495,330,0.343,,4.936759974
2024-T3-IP-225-130.csv,73.4,495,330,0.343,,4.407475885
2024-T3-IP-300-178.csv,73.4,495,330,0.343,,3.302979937
2024-T3-OP-170-98.csv,73.4,495,330,0.343,,5.225401043
2024-T3-OP-200-115.csv,73.4,495,330,0.343,,5.014070891
2024-T3-OP-248-150.csv,73.4,495,330,0.343,,4.031812271
2024-T3-OP-248-152.csv,73.4,495,330,0.343,,4.016155512
2024-T3-OP-415-240.csv,73.4,495,330,0.343,,2.496929648
2024-T3-T-140.csv,73.4,495,330,0.343,,5.777999945
2024-T3-T-144.csv,73.4,495,330,0.343,,6.166677979
2024-T3-T-150.csv,73.4,495,330,0.343,,5.258395409
2024-T3-T-168.csv,73.4,495,330,0.343,,5.255966821
2024-T3-T-169.csv,73.4,495,330,0.343,,4.990090108
2024-T3-T-172.csv,73.4,495,330,0.343,,4.98301252
2024-T3-T-188.csv,73.4,495,330,0.343,,4.846652511
2024-T3-T-207.csv,73.4,495,330,0.343,,4.050650381
2024-T3-T-211.csv,73.4,495,330,0.343,,3.843917638
2024-T3-T-248.csv,73.4,495,330,0.343,,2.866877814
2024-T3-U-170.csv,73.4,495,330,0.343,,6.412928023
2024-T3-U-174.csv,73.4,495,330,0.343,,5.975510158
2024-T3-U-221.csv,73.4,495,330,0.343,,5.157123187
2024-T3-U-276.csv,73.4,495,330,0.343,,4.48162892
2024-T3-U-370.csv,73.4,495,330,0.343,,3.904715545
2024-Tri-214-107.csv,73.4,495,330,0.343,,4.173273701
2024-Tri-79-159.csv,73.4,495,330,0.343,,4.880633551
2198-T8-1-250.csv,71.1,608.8,546.3,0.33,,4.859780554
2198-T8-1-275csv.csv,71.1,608.8,546.3,0.33,,4.577031986
2198-T8-1-300csv.csv,71.1,608.8,546.3,0.33,,4.435525851
2198-T8-1-325.csv,71.1,608.8,546.3,0.33,,4.270259476
2198-T8-1-350csv.csv,71.1,608.8,546.3,0.33,,4.134208993
2198-T8-1-375csv.csv,71.1,608.8,546.3,0.33,,3.514414921
2198-T8-2-173.21csv.csv,71.1,608.8,546.3,0.33,,4.901392927
2198-T8-2-178.98csv.csv,71.1,608.8,546.3,0.33,,4.545628697
2198-T8-2-187.64csv.csv,71.1,608.8,546.3,0.33,,4.462772228
2198-T8-2-202.07csv.csv,71.1,608.8,546.3,0.33,,4.086715664
2198-T8-2-216.51csv.csv,71.1,608.8,546.3,0.33,,3.616685521
2198-T8-3-194.45csv.csv,71.1,608.8,546.3,0.33,,4.90154005
